year,max_results_score,event,event_name,event_type,competitor,nat,mark,date,venue,gender,environment,age,age_category
1987,1265.0,Women's 200m,200-metres,sprints,Silke MÖLLER,GDR,21.74,1987-09-03,"Stadio Olimpico, Roma (ITA)",women,outdoor,23.0,senior
1988,1314.0,Women's 100m,100-metres,sprints,Florence GRIFFITH-JOYNER,USA,10.49,1988-07-16,"Indianapolis, IN (USA)",women,outdoor,29.0,senior
1989,1248.0,Women's 100m,100-metres,sprints,Dawn SOWELL,USA,10.78,1989-06-03,"Provo, UT (USA)",women,outdoor,23.0,senior
1990,1280.0,Women's 200m,200-metres,sprints,Merlene OTTEY,JAM,21.66,1990-08-15,Zürich (SUI),women,outdoor,30.0,senior
1991,1276.0,Women's 200m,200-metres,sprints,Merlene OTTEY,JAM,21.64,1991-09-13,Bruxelles (BEL),women,outdoor,31.0,senior
1992,1286.0,Men's 400m,400-metres,sprints,Quincy WATTS,USA,43.5,1992-08-05,"Estadio Olímpico, Barcelona (ESP)",men,outdoor,22.0,senior
1993,1288.0,Women's 200m indoor,200-metres,sprints,Merlene OTTEY,JAM,21.87,1993-02-13,Liévin (FRA),women,indoor,33.0,senior
1994,1259.0,Men's 100m,100-metres,sprints,Leroy BURRELL,USA,9.85,1994-07-06,"Stade Olympique de la Pontaise, Lausanne (SUI)",men,outdoor,27.0,senior
1995,1294.0,Men's 400m,400-metres,sprints,Michael JOHNSON,USA,43.39,1995-08-09,"Ullevi Stadium, Göteborg (SWE)",men,outdoor,28.0,senior
1996,1329.0,Men's 200m,200-metres,sprints,Michael JOHNSON,USA,19.32,1996-08-01,"Olympic Stadium, Atlanta, GA (USA)",men,outdoor,29.0,senior
1997,1268.0,Men's 400m,400-metres,sprints,Michael JOHNSON,USA,43.75,1997-04-19,"Waco, TX (USA)",men,outdoor,30.0,senior
1998,1281.0,Women's 200m,200-metres,sprints,Marion JONES,USA,21.62,1998-09-11,"SGJ, Johannesburg (RSA)",women,outdoor,23.0,senior
1999,1310.0,Men's 400m,400-metres,sprints,Michael JOHNSON,USA,43.18,1999-08-26,"La Cartuja, Sevilla (ESP)",men,outdoor,32.0,senior
2000,1273.0,Men's 400m,400-metres,sprints,Michael JOHNSON,USA,43.68,2000-07-16,"Sacramento, CA (USA)",men,outdoor,33.0,senior
2001,1274.0,Men's 60m indoor,60-metres,sprints,Maurice GREENE,USA,6.39,2001-03-03,"Atlanta, GA (USA)",men,indoor,27.0,senior
2002,1247.0,Men's 200m,200-metres,sprints,Konstantinos KENTERIS,GRE,19.85,2002-08-09,"Olympiastadion, München (GER)",men,outdoor,29.0,senior
2003,1251.0,Women's 400m,400-metres,sprints,Ana Gabriela GUEVARA,MEX,48.89,2003-08-27,"Stade de France, Paris-St-Denis (FRA)",women,outdoor,26.0,senior
2004,1259.0,Men's 100m,100-metres,sprints,Justin GATLIN,USA,9.85,2004-08-22,"Olympic Stadium, Athina (GRE)",men,outdoor,22.0,senior
2005,1287.0,Men's 100m,100-metres,sprints,Asafa POWELL,JAM,9.77,2005-06-14,"Olympic Stadium, Athina (GRE)",men,outdoor,23.0,senior
2006,1287.0,Men's 100m,100-metres,sprints,Asafa POWELL,JAM,9.77,2006-08-18,Zürich (SUI),men,outdoor,24.0,senior
2007,1298.0,Men's 100m,100-metres,sprints,Asafa POWELL,JAM,9.74,2007-09-09,"Stadio Guidobaldi, Rieti (ITA)",men,outdoor,25.0,senior
2008,1338.0,Men's 200m,200-metres,sprints,Usain BOLT,JAM,19.3,2008-08-20,"National Stadium, Beijing (CHN)",men,outdoor,22.0,senior
2009,1356.0,Men's 100m,100-metres,sprints,Usain BOLT,JAM,9.58,2009-08-16,"Olympiastadion, Berlin (GER)",men,outdoor,23.0,senior
2010,1294.0,Men's 200m,200-metres,sprints,Usain BOLT,JAM,19.56,2010-05-01,Kingston (JAM),men,outdoor,24.0,senior
2011,1339.0,Men's 200m,200-metres,sprints,Yohan BLAKE,JAM,19.26,2011-09-16,"Boudewijnstadion, Bruxelles (BEL)",men,outdoor,22.0,senior
2012,1337.0,Men's 100m,100-metres,sprints,Usain BOLT,JAM,9.63,2012-08-05,"Olympic Stadium, London (GBR)",men,outdoor,26.0,senior
2013,1288.0,Men's 100m,100-metres,sprints,Usain BOLT,JAM,9.77,2013-08-11,"Luzhniki Stadion, Moskva (RUS)",men,outdoor,27.0,senior
2014,1287.0,Men's 100m,100-metres,sprints,Justin GATLIN,USA,9.77,2014-09-05,"Boudewijnstadion, Bruxelles (BEL)",men,outdoor,32.0,senior
2015,1298.0,Men's 100m,100-metres,sprints,Justin GATLIN,USA,9.74,2015-05-15,"Suhaim bin Hamad Stadium, Doha (QAT)",men,outdoor,33.0,senior
2016,1321.0,Men's 400m,400-metres,sprints,Wayde VAN NIEKERK,RSA,43.03,2016-08-14,"Estádio Olímpico, Rio de Janeiro (BRA)",men,outdoor,24.0,senior
2017,1278.0,Men's 400m,400-metres,sprints,Wayde VAN NIEKERK,RSA,43.62,2017-07-06,"Stade Olympique de la Pontaise, Lausanne (SUI)",men,outdoor,25.0,senior
2018,1304.0,Men's 60m indoor,60-metres,sprints,Christian COLEMAN,USA,6.34,2018-02-18,"Albuquerque, NM (USA)",men,indoor,22.0,senior
2019,1300.0,Men's 200m,200-metres,sprints,Noah LYLES,USA,19.5,2019-07-05,"Stade Olympique de la Pontaise, Lausanne (SUI)",men,outdoor,22.0,senior
2020,1258.0,Men's 200m,200-metres,sprints,Noah LYLES,USA,19.76,2020-08-14,"Stade Louis II, Monaco (MON)",men,outdoor,23.0,senior
2021,1302.0,Women's 100m,100-metres,sprints,Elaine THOMPSON-HERAH,JAM,10.54,2021-08-21,"Hayward Field, Eugene, OR (USA)",women,outdoor,29.0,senior
2022,1331.0,Men's 200m,200-metres,sprints,Noah LYLES,USA,19.31,2022-07-21,"Hayward Field, Eugene, OR (USA)",men,outdoor,25.0,senior
2023,1305.0,Men's 200m,200-metres,sprints,Noah LYLES,USA,19.47,2023-07-23,"Olympic Stadium, London (GBR)",men,outdoor,26.0,senior
