event_type,half_decade_start,half_decade_label,nat,rank_among_selected_top10,global_rank_in_half_decade,half_decade_avg_of_yearly_top5_score,raw_half_decade_avg_of_yearly_top5_score,score_fill_method,has_period_data,active_years_in_half_decade,total_records_in_half_decade,max_yearly_result_score_in_half_decade,country_strength_rank,country_strength_score,quality_score,coverage_score,quality_percentile,coverage_percentile,active_half_decades,total_half_decades_in_event_type,ranking_metric_name,missing_period_score_fill_value
jumps,1980,1980s,FRA,2,6,1199.44,1199.44,actual,True,5,146,1242.0,3,0.9388429752066116,1209.8138888888889,0.7058823529411765,0.9338842975206612,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1980,1980s,SWE,3,10,1176.8999999999999,1176.8999999999999,actual,True,3,32,1206.0,4,0.9363636363636364,1214.2459999999999,0.5882352941176471,0.9586776859504132,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1980,1980s,CUB,4,14,1173.74,1173.74,actual,True,5,82,1219.0,2,0.9561983471074381,1215.1225757575758,0.6470588235294118,0.9669421487603306,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1980,1980s,ITA,5,16,1172.8799999999999,1172.8799999999999,actual,True,5,47,1219.0,9,0.8966942148760332,1193.2669696969697,0.6470588235294118,0.8925619834710744,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1980,1980s,AUS,6,17,1168.72,1168.72,actual,True,5,37,1214.0,10,0.8925619834710744,1189.8518055555555,0.7058823529411765,0.8760330578512396,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1980,1980s,RSA,7,22,1159.25,1159.25,actual,True,4,5,1180.0,8,0.903305785123967,1195.6956666666667,0.5882352941176471,0.9173553719008265,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1980,1980s,GER,8,34,1143.0,1143.0,actual,True,1,1,1143.0,7,0.9231404958677686,1210.803,0.5882352941176471,0.9421487603305785,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1980,1980s,RUS,9,,0.0,,filled_0_no_period_data,False,0,0,0.0,5,0.9330578512396696,1232.645,0.47058823529411764,0.9834710743801653,0.731404958677686,8,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1980,1980s,UKR,10,,0.0,,filled_0_no_period_data,False,0,0,0.0,6,0.9256198347107438,1236.9609523809524,0.4117647058823529,1.0,0.628099173553719,7,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,USA,1,3,1273.8,1273.8,actual,True,5,1337,1318.0,1,0.9801652892561983,1216.44,1.0,0.9752066115702479,1.0,17,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,CUB,2,5,1241.92,1241.92,actual,True,5,198,1305.0,2,0.9561983471074381,1215.1225757575758,0.6470588235294118,0.9669421487603306,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,SWE,3,6,1238.04,1238.04,actual,True,5,102,1287.0,4,0.9363636363636364,1214.2459999999999,0.5882352941176471,0.9586776859504132,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,FRA,4,9,1214.24,1214.24,actual,True,5,228,1245.0,3,0.9388429752066116,1209.8138888888889,0.7058823529411765,0.9338842975206612,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,RSA,5,10,1212.6666666666667,1212.6666666666667,actual,True,3,15,1229.0,8,0.903305785123967,1195.6956666666667,0.5882352941176471,0.9173553719008265,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,AUS,6,15,1173.3066666666666,1173.3066666666666,actual,True,5,26,1200.0,10,0.8925619834710744,1189.8518055555555,0.7058823529411765,0.8760330578512396,0.9586776859504132,12,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,ITA,7,19,1169.72,1169.72,actual,True,5,54,1232.0,9,0.8966942148760332,1193.2669696969697,0.6470588235294118,0.8925619834710744,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,RUS,8,25,1164.0,1164.0,actual,True,2,3,1171.0,5,0.9330578512396696,1232.645,0.47058823529411764,0.9834710743801653,0.731404958677686,8,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,GER,9,38,1149.5,1149.5,actual,True,2,2,1161.0,7,0.9231404958677686,1210.803,0.5882352941176471,0.9421487603305785,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1985,1985s,UKR,10,,0.0,,filled_0_no_period_data,False,0,0,0.0,6,0.9256198347107438,1236.9609523809524,0.4117647058823529,1.0,0.628099173553719,7,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1990,1990s,UKR,1,1,1290.0666666666666,1290.0666666666666,actual,True,3,239,1308.0,6,0.9256198347107438,1236.9609523809524,0.4117647058823529,1.0,0.628099173553719,7,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1990,1990s,USA,2,2,1285.1200000000001,1285.1200000000001,actual,True,5,954,1346.0,1,0.9801652892561983,1216.44,1.0,0.9752066115702479,1.0,17,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1990,1990s,GER,3,4,1272.3,1272.3,actual,True,4,295,1324.0,7,0.9231404958677686,1210.803,0.5882352941176471,0.9421487603305785,0.8471074380165289,10,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1990,1990s,CUB,4,6,1249.8799999999999,1249.8799999999999,actual,True,5,206,1314.0,2,0.9561983471074381,1215.1225757575758,0.6470588235294118,0.9669421487603306,0.9132231404958677,11,17,Half-decade average of yearly top-5 average result score,0.0
jumps,1990,1990s,RUS,5,8,1227.9,1227.9,actual,True,4,495,1267.0,5,0.9330578512396696,1232.645,0.47058823529411764,0.9834710743801653,0.731404958677686,8,17,Half-decade average of yearly top-5 average result score,0.0
