year,event_type,gender,max_results_score,all_time_rank,event,category,event_rank,mark,competitor,nat,pos,date,venue,age,year_of_birth,event_name,environment,age_category
2018,middle-long,men,1273.0,1302.0,Men's 5000m,Outdoor Senior - Men,14,12:43.02,Selemon BAREGA,ETH,1,2018-08-31 00:00:00,"Boudewijnstadion, Bruxelles (BEL)",18.0,2000.0,5000-metres,outdoor,senior
2018,middle-long,women,1285.0,685.0,Women's 3000mSC,Outdoor Senior - Women,1,8:44.32,Beatrice CHEPKOECH,KEN,1,2018-07-20 00:00:00,"Stade Louis II, Monaco (MON)",27.0,1991.0,3000-metres-steeplechase,outdoor,senior
2019,middle-long,men,1304.0,229.0,Men's Mile indoor,Indoor Senior - Men,1,3:47.01,Yomif KEJELCHA,ETH,1,2019-03-03 00:00:00,"Boston, MA (USA)",22.0,1997.0,one-mile,indoor,senior
2019,middle-long,women,1271.0,1441.0,Women's 1500m,Outdoor Senior - Women,11,3:51.95,Sifan HASSAN,NED,1,2019-10-05 00:00:00,"Khalifa International Stadium, Doha (QAT)",26.0,1993.0,1500-metres,outdoor,senior
2020,middle-long,men,1306.0,200.0,"Men's 10,000m",Outdoor Senior - Men,1,26:11.00,Joshua CHEPTEGEI,UGA,1,2020-10-07 00:00:00,"Estadio de Atletismo del Turia, Valencia (ESP)",24.0,1996.0,10000-metres,outdoor,senior
2020,middle-long,women,1269.0,1600.0,"Women's 10,000m",Outdoor Senior - Women,7,29:36.67,Sifan HASSAN,NED,1,2020-10-10 00:00:00,"FBK Stadium, Hengelo (NED)",27.0,1993.0,10000-metres,outdoor,senior
2020,middle-long,women,1269.0,1600.0,Women's 5000m,Outdoor Senior - Women,4,14:06.62,Letesenbet GIDEY,ETH,1,2020-10-07 00:00:00,"Estadio de Atletismo del Turia, Valencia (ESP)",22.0,1998.0,5000-metres,outdoor,senior
2021,middle-long,men,1298.0,325.0,Men's 3000m indoor,Indoor Senior - Men,4,7:24.98,Getnet WALE,ETH,1,2021-02-09 00:00:00,"Arena Stade Couvert, Liévin (FRA)",21.0,2000.0,3000-metres,indoor,senior
2021,middle-long,women,1303.0,243.0,"Women's 10,000m",Outdoor Senior - Women,1,29:01.03,Letesenbet GIDEY,ETH,1,2021-06-08 00:00:00,"FBK Stadium, Hengelo (NED)",23.0,1998.0,10000-metres,outdoor,senior
2022,middle-long,men,1292.0,466.0,Men's 1500m indoor,Indoor Senior - Men,1,3:30.60,Jakob INGEBRIGTSEN,NOR,1,2022-02-17 00:00:00,"Arena Stade Couvert, Liévin (FRA)",22.0,2000.0,1500-metres,indoor,senior
2022,middle-long,women,1284.0,722.0,Women's 1500m,Outdoor Senior - Women,3,3:50.37,Faith KIPYEGON,KEN,1,2022-08-10 00:00:00,"Stade Louis II, Monaco (MON)",28.0,1994.0,1500-metres,outdoor,senior
2023,middle-long,men,1307.0,188.0,Men's 2000m,Outdoor Senior - Men,1,4:43.13,Jakob INGEBRIGTSEN,NOR,1.0,2023-09-08 00:00:00,"Boudewijnstadion, Bruxelles (BEL)",23.0,2000.0,2000-metres,outdoor,senior
2023,middle-long,women,1295.0,382.0,Women's 1500m,Outdoor Senior - Women,1,3:49.11,Faith KIPYEGON,KEN,1,2023-06-02 00:00:00,"Stadio Luigi Ridolfi, Firenze (ITA)",29.0,1994.0,1500-metres,outdoor,senior
1948,sprints,men,1103.0,,Men's 300m,Outdoor Senior - Men,315,32.64,Herb MCKENLEY,JAM,1,1948-09-03,Stockholm (SWE),26.0,1922.0,300-metres,outdoor,senior
1950,sprints,men,1103.0,,Men's 300m,Outdoor Senior - Men,315,32.64,Herb MCKENLEY,JAM,1,1950-08-16,Stockholm (SWE),28.0,1922.0,300-metres,outdoor,senior
1956,sprints,men,1156.0,217404.0,Men's 400m,Outdoor Senior - Men,6098,45.44,Lou JONES,USA,1,1956-06-30,"Los Angeles, CA (USA)",24.0,1932.0,400-metres,outdoor,senior
1956,sprints,women,1091.0,,Women's 200m,Outdoor U20 - Women,1572,23.44,Betty CUTHBERT,AUS,1,1956-09-16,Sydney (AUS),18.0,1938.0,200-metres,outdoor,u20
1958,sprints,men,1108.0,,Men's 100m,Outdoor U20 - Men,925,10.29,Peter RADFORD,GBR,1,1958-09-13,Colombes (FRA),19.0,1939.0,100-metres,outdoor,u20
1960,sprints,men,1177.0,114975.0,Men's 400m,Outdoor Senior - Men,3013,45.14,Carl KAUFMANN,FRG,2,1960-09-06,"Stadio Olimpico, Roma (ITA)",24.0,1936.0,400-metres,outdoor,senior
1960,sprints,men,1177.0,114975.0,Men's 400m,Outdoor Senior - Men,3013,45.14,Otis DAVIS,USA,1,1960-09-06,"Stadio Olimpico, Roma (ITA)",28.0,1932.0,400-metres,outdoor,senior
1964,sprints,men,1177.0,114975.0,Men's 400m,Outdoor Senior - Men,3013,45.14,Mike LARRABEE,USA,1,1964-09-12,"Los Angeles, CA (USA)",31.0,1933.0,400-metres,outdoor,senior
